"Age"
48
40
59
36
46
65
71
38
55
57
47
54
42
44
43
63
49
79
68
70
74
64
47
35
48
49
67
39
57
60
65
50
54
65
66
37
53
51
52
61
42
65
56
43
38
45
56
31
49
54
35
69
32
38
36
52
58
35
43
34
46
38
46
53
67
50
64
32
43
41
75
36
65
44
79
68
55
46
48
71
62
62
66
38
36
57
41
37
66
67
40
28
50
69
64
51
73
39
67
43
63
50
56
61
47
42
42
30
43
52
56
51
59
40
30
61
48
41
64
54
45
57
29
62
68
49
41
31
71
61
56
38
29
35
70
51
34
37
56
55
37
41
54
27
65
39
38
74
38
64
57
68
78
58
66
45
58
35
60
38
65
48
55
39
73
62
63
70
37
46
49
64
60
52
52
54
41
33
66
39
65
34
41
65
44
55
65
37
42
38
31
60
61
36
57
57
33
63
37
48
48
45
41
58
43
58
65
45
60
55
49
36
42
38
60
73
38
44
53
59
51
33
50
58
37
43
44
55
45
51
39
41
26
37
53
32
64
38
43
63
41
37
56
63
48
41
38
37
61
75
33
35
53
46
65
37
35
40
51
62
74
47
63
51
51
57
42
39
55
62
69
45
55
47
54
40
58
34
39
39
52
50
44
36
41
70
35
54
46
43
50
44
63
41
45
38
36
39
33
54
68
59
50
60
46
41
46
43
60
57
40
32
69
63
49
30
63
67
46
64
37
38
62
39
38
35
36
54
62
50
47
37
55
38
32
42
62
51
74
48
42
41
33
45
37
52
60
41
53
58
52
65
41
60
43
75
61
69
64
57
33
43
48
38
66
52
46
68
49
37
